user,id,created_at,text
smi1info,867530663477620737,2017-05-25 00:00:02,https://smi1.info/komp-yuternye-igry/9126-code-vein-treyler-2017-qvi-treylery-game.html … Code Vein. Трейлер 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/baNx0GRYkk
actionScript3,867531034518323202,2017-05-25 00:01:31,#JohnLennon - Starting Over http://youtu.be/iAJ2AoEwDvY  #MusicVideo #Музыка #Видео #oldiespic.twitter.com/sLLseHkLzp
smi1info,867531416514506753,2017-05-25 00:03:02,https://smi1.info/komp-yuternye-igry/9125-nier-automata-treyler-dopolneniya-3c3c1d119440927-2017-qvi-treylery-ga.html … NieR: Automata. Трейлер дополнения 3C3C1D119440927 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/OGtgo9gpY0
actionScript3,867532796339814400,2017-05-25 00:08:31,#JanisJoplin - #Woodstock 16 Aug 69 Cry https://youtu.be/Lz7x5pMdN0c  #MusicVideo #Музыка #Видео #oldiespic.twitter.com/s9Bj6nq4w9
smi1info,867532931375316993,2017-05-25 00:09:03,https://smi1.info/filmy/9122-chelovek-pauk-vozvraschenie-domoy-russkiy-treyler-4-2017.html … Человек-паук׃ Возвращение домой | Русский трейлер #4 | 2017 #news #новости #видео #smi1 #СМИ1pic.twitter.com/zKQDRjpvZ3
smi1info,867533684106289152,2017-05-25 00:12:02,https://smi1.info/komp-yuternye-igry/9121-reservoir-dogs-bloody-days-geympleynyy-treyler-2017-qvi-treylery-game.html … Reservoir Dogs: Bloody Days. Геймплейный трейлер 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/HwOGgj6be9
smi1info,867534442591637504,2017-05-25 00:15:03,https://smi1.info/komp-yuternye-igry/9120-shiness-the-lightning-kingdom-treyler-2017-qvi-treylery-game.html … Shiness: The Lightning Kingdom. Трейлер 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/hQd2m0OU5F
actionScript3,867534552327217153,2017-05-25 00:15:29,DANCE THE TANGO from @marlamase SPEAK DELUXE ALBUM https://youtu.be/BRhUfLiW3fY  #MusicVideo #Музыка #Видео
actionScript3,867534557821751301,2017-05-25 00:15:31,B.B. KING - When It All Comes Down http://youtu.be/JCZUaZm5-j4  #MusicVideo #Музыка #Видео #oldiespic.twitter.com/qTYt6WkGec
USEmbHell,867534769214681089,2017-05-25 00:16:21,"Отношения между США и Россией резко ухудшились из-за конфликта в Сирии

#видео #политика #экономика #правительствоhttps://www.youtube.com/watch?v=sny36A-Zt3U …"
smi1info,867535196064755712,2017-05-25 00:18:03,https://smi1.info/komp-yuternye-igry/9119-crash-bandicoot-n-sane-trilogy-treyler-sravnenie-2017-qvi-treylery-gam.html … Crash Bandicoot N. Sane Trilogy. Трейлер-сравнение 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/WAsWPDACzO
smi1info,867535947646328832,2017-05-25 00:21:02,https://smi1.info/komp-yuternye-igry/9118-quake-champions-treyler-o-chempione-ranger-2017-qvi-treylery-game.html … Quake Champions. Трейлер о чемпионе Ranger 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/GG4nOSKsLx
actionScript3,867536319383314433,2017-05-25 00:22:31,The #Doors Soundstage Performances 1969 http://youtu.be/BbTCdv99R0I  #MusicVideo #Музыка #Видео #oldiespic.twitter.com/UI8n6HSPud
smi1info,867537460368113667,2017-05-25 00:27:03,https://smi1.info/filmy/9116-temnaya-materiya-3-sezon-russkiy-treyler-2017.html … Темная материя (3 сезон) | Русский трейлер | 2017 #news #новости #видео #smi1 #СМИ1pic.twitter.com/L5dg27xLVj
actionScript3,867538080940654593,2017-05-25 00:29:31,#ChambersBrothers - Time Has Come Today https://youtu.be/CsBwBct0_5U  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/jjlBCPzC1V
smi1info,867538214810157056,2017-05-25 00:30:03,https://smi1.info/komp-yuternye-igry/9115-prey-treyler-k-vyhodu-igry-2017-qvi-treylery-game.html … Prey. Трейлер к выходу игры 2017 QVI Трейлеры Game #news #новости #видео #smi1 #СМИ1pic.twitter.com/HGRymTceWi
smi1info,867538970237947904,2017-05-25 00:33:03,https://smi1.info/filmy/9114-2-22-russkiy-treyler-2017.html … 2:22 | Русский трейлер | 2017 #news #новости #видео #smi1 #СМИ1pic.twitter.com/tpI2hxJTtF
smi1info,867539722175995905,2017-05-25 00:36:02,https://smi1.info/filmy/9113-t-34-tizer-treyler-2018.html … Т-34 | Тизер-трейлер | 2018 #news #новости #видео #smi1 #СМИ1pic.twitter.com/oq10HduA56
actionScript3,867539842581835776,2017-05-25 00:36:31,#GunsNRoses - Knocking On Heaven's Door http://youtu.be/X1ZRBPA8SK0  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/OyBhujdN9L
smi1info,867540479663104000,2017-05-25 00:39:03,"https://smi1.info/filmy/9112-tancy-nasmert-treyler-2-final-nyy-2017-msot.html … Танцы Насмерть - Трейлер 2 (финальный, 2017) | MSOT #news #новости #видео #smi1 #СМИ1pic.twitter.com/ybSJop8nvQ"
29aleks65,867541099228823553,2017-05-25 00:41:30,#Семейный #полный #видео #альбом https://youtu.be/JuoeNnRhDxU  #YouTube
smi1info,867541232809127936,2017-05-25 00:42:02,https://smi1.info/filmy/9110-navazhdenie-russkiy-treyler-2017-msot.html … Наваждение - Русский Трейлер (2017) | MSOT #news #новости #видео #smi1 #СМИ1pic.twitter.com/kHSFgzN5uO
actionScript3,867541604222894080,2017-05-25 00:43:31,#AliceCooper - School's Out https://youtu.be/LgIMRYdg8jE  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/lclj0cdvwS
USEmbHell,867541790018199552,2017-05-25 00:44:15,"Военная приемка.«Армия в Арктике»

#видео #политика #экономика #правительство #религия #россияhttps://www.youtube.com/watch?v=ulZGxv3nn5Q …"
actionScript3,867543366019493888,2017-05-25 00:50:31,#Cranberries - Zombie http://youtu.be/Jcwsfns7KPQ  #MusicVideo #Музыка #Видео #Oldiespic.twitter.com/07N53S6kvI
smi1info,867544255044177920,2017-05-25 00:54:03,https://smi1.info/filmy/9106-obrazcovyy-samec-2-russkiy-treyler-2-2016.html … Образцовый самец 2 - Русский Трейлер 2 (2016) #news #новости #видео #smi1 #СМИ1pic.twitter.com/goSKh8aKfT
smi1info,867545008378966018,2017-05-25 00:57:02,https://smi1.info/filmy/9105-pyataya-volna-russkiy-treyler-2016.html … Пятая волна - Русский Трейлер (2016) #news #новости #видео #smi1 #СМИ1pic.twitter.com/nCKfZGZfmC
actionScript3,867545127497207809,2017-05-25 00:57:31,#CountryJoeMcdonald - Feel Like i'm Fixing to Die Rag http://youtu.be/hs4s7LrAuMo  #MusicVideo #Музыка #Видео pic.twitter.com/Rd0hj8DdP5
smi1info,867545765908025345,2017-05-25 01:00:03,https://smi1.info/lyudi-i-blogi/9104-kto-ya-russkiy-treyler-2015.html … Кто я — Русский трейлер (2015) #news #новости #видео #smi1 #СМИ1pic.twitter.com/EebDli2E4s
actionScript3,867546888932917248,2017-05-25 01:04:31,#Bortnyansky Te Deum https://youtu.be/caTooHSzus4  #MusicVideo #Музыка #Видео #Classicalpic.twitter.com/Gd7XWorbz6
